x,y
0.7187,3.0803
0.717,2.9615
0.7154,2.8603
0.7137,2.744
0.7125,2.6652
0.7112,2.5802
0.7098,2.4902
0.7085,2.4014
0.7072,2.3152
0.7054,2.1976
0.7039,2.0926
0.7025,2.0014
0.7011,1.9088
0.6996,1.8113
0.6982,1.7213
0.6971,1.6463
0.6957,1.5501
0.6938,1.4263
0.692,1.305
0.6904,1.1975
0.6888,1.0925
0.6874,1.0037
0.6858,0.895
0.6846,0.8137
0.683,0.7125
0.6817,0.6212
0.68,0.5099
0.6782,0.3949
0.6768,0.2974
0.675,0.1786
0.6736,0.0861
0.6724,0.0036
0.6709,-0.0901
0.6695,-0.1852
0.6683,-0.2639
0.667,-0.3527
0.6656,-0.4427
0.6644,-0.5277
0.6633,-0.5952
0.6611,-0.7427
0.6596,-0.8452
0.6583,-0.9315
0.6568,-1.0278
0.6554,-1.1203
0.6541,-1.2065
0.6527,-1.3003
0.6513,-1.3928
0.65,-1.4816
0.6485,-1.5816
0.647,-1.6778
0.6456,-1.7741
0.6442,-1.8679
0.6428,-1.9604
0.6414,-2.0541
0.6399,-2.1554
0.6384,-2.2504
0.637,-2.348
0.6355,-2.4417
0.6341,-2.5342
0.6327,-2.633
0.6311,-2.7355
0.6295,-2.8406
0.6277,-2.9618
0.6263,-3.0556
0.6249,-3.1481
0.6236,-3.2344
0.6221,-3.3319
0.6207,-3.4244
0.6193,-3.5182
0.6179,-3.6095
0.6165,-3.7058
0.6149,-3.8095
0.6136,-3.8933
0.6121,-3.9958
0.6108,-4.0846
0.6093,-4.1796
0.608,-4.2696
0.6065,-4.3659
0.6052,-4.4509
0.6037,-4.5497
0.6006,-4.6518
0.5947,-4.7476
0.5876,-4.8258
0.5766,-4.92
0.5633,-5.0112
0.5459,-5.1094
0.5271,-5.1997
0.5069,-5.2846
0.4821,-5.3774
0.455,-5.4681
0.4259,-5.5557
0.3922,-5.6482
0.3585,-5.7328
0.323,-5.8152
0.2852,-5.8966
0.2508,-5.9658
0.2077,-6.0473
0.1565,-6.1372
0.1043,-6.2195
0.0613,-6.2796
-0.0091,-6.3669
-0.064,-6.427
-0.1363,-6.4976
-0.1957,-6.5495
-0.2745,-6.6108
-0.3591,-6.6683
-0.4332,-6.7125
-0.514,-6.7549
-0.596,-6.792
-0.6822,-6.8253
-0.7643,-6.8518
-0.8634,-6.8774
-0.9444,-6.8934
-1.0237,-6.9049
-1.1269,-6.9138
-1.2144,-6.916
-1.3006,-6.9136
-1.394,-6.9056
-1.4842,-6.8926
-1.57,-6.8753
-1.6405,-6.8574
-1.7171,-6.8339
-1.813,-6.7983
-1.902,-6.7588
-1.9798,-6.7188
-2.0626,-6.6699
-2.1373,-6.6197
-2.2081,-6.5661
-2.2785,-6.5063
-2.341,-6.4468
-2.3895,-6.3959
-2.4466,-6.3296
-2.4912,-6.2722
-2.5387,-6.2046
-2.587,-6.1272
-2.633,-6.0427
-2.6728,-5.9579
-2.7033,-5.8825
-2.7265,-5.8162
-2.7528,-5.7263
-2.7738,-5.635
-2.7886,-5.5487
-2.7987,-5.4606
-2.8032,-5.3892
-2.8044,-5.3005
-2.801,-5.2167
-2.7946,-5.1455
-2.7822,-5.0576
-2.7673,-4.9813
-2.7468,-4.8928
-2.7258,-4.8119
-2.7005,-4.7245
-2.672,-4.6355
-2.6397,-4.5438
-2.6055,-4.4554
-2.5693,-4.3692
-2.5311,-4.2853
-2.4927,-4.2069
-2.4611,-4.146
-2.4184,-4.0685
-2.3844,-4.0088
-2.3375,-3.9262
-2.2949,-3.8511
-2.2604,-3.7902
-2.2209,-3.7206
-2.1839,-3.6554
-2.1376,-3.5738
-2.0938,-3.4966
-2.0476,-3.415
-2.0032,-3.3367
-1.9581,-3.2573
-1.923,-3.1953
-1.873,-3.1072
-1.8243,-3.0213
-1.7775,-2.9386
-1.7368,-2.8668
-1.6905,-2.7853
-1.6535,-2.72
-1.6134,-2.6481
-1.5736,-2.5718
-1.5391,-2.5013
-1.4972,-2.4094
-1.4625,-2.3267
-1.4291,-2.2407
-1.3983,-2.1537
-1.3711,-2.0695
-1.3471,-1.9882
-1.3242,-1.9014
-1.3071,-1.8298
-1.2879,-1.7383
-1.2721,-1.6513
-1.2578,-1.5576
-1.2474,-1.4643
-1.2426,-1.3671
-1.2432,-1.2832
-1.2492,-1.1885
-1.2587,-1.1089
-1.2701,-1.0409
-1.2887,-0.9507
-1.3098,-0.8609
-1.3338,-0.7705
-1.3538,-0.7023
-1.3811,-0.6168
-1.4096,-0.5357
-1.4347,-0.4692
-1.4649,-0.3925
-1.4926,-0.3214
-1.5276,-0.2317
-1.5594,-0.1502
-1.5935,-0.0629
-1.6253,0.0187
-1.6499,0.0816
-1.6849,0.1713
-1.7144,0.247
-1.7453,0.3262
-1.7744,0.4007
-1.803,0.4741
-1.8307,0.5452
-1.8653,0.6337
-1.8989,0.7199
-1.9316,0.8037
-1.9562,0.8666
-1.9871,0.9458
-2.0143,1.0157
-2.0448,1.0938
-2.0707,1.1602
-2.1034,1.244
-2.1338,1.3221
-2.1647,1.4013
-2.1947,1.4782
-2.2247,1.555
-2.2547,1.6319
-2.2911,1.7251
-2.3238,1.809
-2.3515,1.88
-2.3779,1.9476
-2.4083,2.0256
-2.4333,2.0908
-2.4637,2.1766
-2.4865,2.2465
-2.5141,2.3398
-2.5343,2.4156
-2.5549,2.5017
-2.5717,2.581
-2.5882,2.6705
-2.6001,2.7469
-2.6094,2.8161
-2.6195,2.9103
-2.6266,3.001
-2.631,3.0869
-2.6332,3.1766
-2.6329,3.2576
-2.6305,3.3424
-2.625,3.4395
-2.617,3.5326
-2.6062,3.6255
-2.5925,3.7192
-2.5757,3.815
-2.5581,3.9005
-2.5367,3.9915
-2.514,4.077
-2.4919,4.1524
-2.4676,4.2284
-2.4376,4.3143
-2.4061,4.397
-2.3762,4.4696
-2.3384,4.5552
-2.3003,4.635
-2.256,4.7216
-2.2096,4.8056
-2.165,4.8796
-2.112,4.9568
-2.0592,5.0251
-2.0152,5.0767
-1.9553,5.1404
-1.8919,5.2008
-1.8329,5.2513
-1.7646,5.3041
-1.6987,5.3496
-1.6295,5.3925
-1.5528,5.4345
-1.4761,5.4713
-1.3929,5.5057
-1.3115,5.5342
-1.2394,5.5554
-1.1398,5.5788
-1.0462,5.5947
-0.9395,5.6059
-0.8262,5.61
-0.7129,5.6059
-0.6246,5.5972
-0.5308,5.5824
-0.4381,5.562
-0.3503,5.5372
-0.2583,5.5053
-0.1673,5.4673
-0.0821,5.4255
-0.0133,5.3869
0.0545,5.3443
0.1409,5.2828
0.221,5.2173
0.2863,5.1571
0.3488,5.0924
0.41,5.0215
0.4633,4.9521
0.5134,4.8788
0.5635,4.7953
0.6052,4.7156
0.6429,4.6325
0.6785,4.5392
0.7089,4.4415
0.7285,4.3626
0.747,4.2736
0.7668,4.1606
0.7817,4.0544
0.7923,3.9553
0.8007,3.8434
0.8051,3.7313
0.8059,3.6453
0.8054,3.5528
0.8051,3.4628
0.8046,3.3453
0.8043,3.2415
0.8039,3.1553